REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2011/2012,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14220,,,,0
2012/2013,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14436,,,,0
2013/2014,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14634,,,,0
2014/2015,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14595,,,,0
2015/2016,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14364,,,,0
2016/2017,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14568,,,,0
2017/2018,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14448,,,,0
2018/2019,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14502,,,,0
2019/2020,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14865,,,,0
2020/2021,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14694,,,,0
2021/2022,"Brock University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441807414,126.1.1.1.1.2.2.1,14646,,,,0
2011/2012,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,19608,,,,0
2012/2013,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,20088,,,,0
2013/2014,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,20619,,,,0
2014/2015,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,20727,,,,0
2015/2016,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,20832,,,,0
2016/2017,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,21174,,,,0
2017/2018,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,21795,,,,0
2018/2019,"Carleton University, Ontario",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441850402,127.1.1.1.1.2.2.1,21756,,,,0
