"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","40419","","","","0"
"2011/2012","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","40095","","","","0"
"2012/2013","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","39681","","","","0"
"2013/2014","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","39927","","","","0"
"2014/2015","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","39120","","","","0"
"2015/2016","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","38610","","","","0"
"2016/2017","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","37944","","","","0"
"2017/2018","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","36144","","","","0"
"2018/2019","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","35421","","","","0"
"2019/2020","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","35451","","","","0"
